Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,442.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,0.5W,UHF A/1,,,,
2,,442.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,0.5W,UHF A/2,,,,
3,,442.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,0.5W,UHF A/3,,,,
4,,442.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,0.5W,UHF A/4,,,,
